Activation Status,Deactivation Date,SalesForceID,RetailerAcc,TerminalID,Activation Date,SubscriberID,ESN,HEXESN,Phone Number,Base Plan,Brand,HandsetModelNumber,Door Type,1st MRC Payment,1st Payment %,1st Payment Commission,2nd MRC Payment,Days Since Activation,2nd Payment %,2nd Payment Commission,3rd MRC Payment,3rd Payment %,3rd Payment Commission,4th MRC Payment,4th Payment %,4th Payment Commission,5th MRC Payment,5th Payment %,5th Payment Commission,6th MRC Payment,6th Payment %,6th Payment Commission,7th MRC Payment,7th Payment %,7th Payment Commission,8th MRC Payment,8th Payment %,8th Payment Commission,Total Commissions to Date,Adjusted Reason
Active,,0013000000HnF9fAAF,451250,605373,06/11/2023,2b6c0ffd-1434-4476-b0ce-8235fc5d2572,"=""089496604905261602""","=""35581921504922""",555-229-6576,$40 Unlimited Talk & Text + 15GB 5G/4G Data (TI),Virgin,SPHA037UANB,1,06/11/2023,,$15.00,07/11/2023,30.0,,$15.00,08/11/2023,,$15.00,,,,,,,,,,,,,,,,$45.00,
Active,,0013000000HnF9fAAF,451250,605373,06/27/2023,f3d390f8-92d1-4670-998d-9ef9a2eb0e98,"=""089680879202229024""","=""35743758220320""",555-938-3607,$40 Unlimited Talk & Text + 15GB 5G/4G Data (TI),Virgin,MOXT21655AN1,1,06/28/2023,,$15.00,07/14/2023,17.0,,$25.00,,,,,,,,,,,,,,,,,,,$40.00,
Active,,0013000000HnF9fAAF,451250,605373,06/09/2023,e2ad6b4c-b8df-4cd7-9cc1-f4f09219baa0,"=""089032869600590098""","=""35115678090112""",555-214-6487,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,RNWBT1264BK1,1,06/10/2023,,$25.00,07/10/2023,31.0,,$25.00,08/11/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Deactivated,08/17/2023,0013000000HnF9fAAF,451250,605373,06/17/2023,d92343c8-a733-4555-8659-446b3733a956,"=""089587875606497286""","=""35660664632406""",555-260-6736,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,194252028704,1,06/17/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Active,,0013000000HnF9fAAF,451250,605373,06/21/2023,daf01303-d2c7-481e-97f8-eb1f44f1b814,"=""089871342604805415""","=""35914752495327""",555-432-3551,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA236UANB,1,06/21/2023,,$25.00,07/22/2023,31.0,,$25.00,08/23/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/04/2023,dd31a0d6-f2d6-4252-b756-0cba17d25474,"=""089871342604347254""","=""35914752425576""",555-823-8503,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA236UANB,1,06/05/2023,,$25.00,07/05/2023,31.0,,$25.00,08/03/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/09/2023,fb5e9fa4-6fa0-4a5d-8b19-4fb78b967a1e,"=""089266674107422614""","=""35350375714296""",555-908-1562,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,RNWBT1264WT1,1,06/10/2023,,$25.00,07/10/2023,31.0,,$25.00,08/11/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Deactivated,08/13/2023,0013000000HnF9fAAF,451250,605373,06/13/2023,46a9402a-fae2-4c7c-8ada-f57f0bb31ded,"=""089686122302389760""","=""35750427247700""",555-775-7352,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,RNWBT1264BK1,1,06/14/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Active,,0013000000HnF9fAAF,451250,605373,06/09/2023,320f4564-b277-43a8-8bc6-65b108f88040,"=""089445282204527426""","=""35504456451542""",555-200-8749,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,RNWBT1264BU1,1,06/10/2023,,$25.00,07/10/2023,31.0,,$25.00,08/11/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/16/2023,204c6ede-88cb-45fd-9045-21c172e7d101,"=""089280673700537492""","=""35372651083394""",555-819-3294,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,RNWBT1264BU1,1,06/17/2023,,$25.00,07/17/2023,31.0,,$25.00,08/18/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/17/2023,05de7ef5-aecf-452e-9ca0-327ac7d7d715,"=""089680879202228595""","=""35743758220173""",555-849-9887,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,MOXT21655AN1,1,06/17/2023,,$25.00,07/17/2023,30.0,,$25.00,08/18/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/15/2023,0866ed34-028c-4d2d-9707-e50e6ffd4f2b,"=""089564072101123911""","=""35626491112647""",555-858-4447,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,TC4056WAN1,1,06/15/2023,,$25.00,07/21/2023,36.0,,$25.00,08/21/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/05/2023,09bd30f0-113f-48a8-b0f8-28be6a0e56c1,"=""089379032006441221""","=""35462870624905""",555-525-6139,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,194252096710,1,06/05/2023,,$25.00,07/05/2023,30.0,,$25.00,08/05/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Deactivated,08/09/2023,0013000000HnF9fAAF,451250,605373,06/09/2023,7fabd276-b37c-41e0-b971-1a8014405400,"=""089496604905399559""","=""35581921526407""",555-715-7697,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA037UANB,1,06/10/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Deactivated,08/20/2023,0013000000HnF9fAAF,451250,605373,06/20/2023,8293709b-ff42-45cb-8528-307904bbb32a,"=""089549808203446897""","=""35603762349871""",555-510-4351,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,MOXT22133ANB,1,06/20/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Deactivated,08/13/2023,0013000000HnF9fAAF,451250,605373,06/13/2023,6be6a119-9ee7-4298-9f48-c8d07bbc8e92,"=""089496604905399400""","=""35581921526368""",555-653-3102,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA037UANB,1,06/14/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Active,,0013000000HnF9fAAF,451250,605373,06/16/2023,6ec62e5f-d223-4b95-bdb1-467518d0ef4d,"=""089445282206631544""","=""35504456653078""",555-981-4234,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,RNWBT1264BU1,1,06/17/2023,,$25.00,07/17/2023,31.0,,$25.00,08/18/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Deactivated,08/17/2023,0013000000HnF9fAAF,451250,605373,06/17/2023,6fe0a9a1-18d7-4185-b140-7e28a21e1420,"=""089699695208848152""","=""35771658870318""",555-123-5649,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,194252028698,1,06/17/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Active,,0013000000HnF9fAAF,451250,605373,06/26/2023,73b2abbf-7bf9-4b58-a8ed-3af9de27bd58,"=""089871342604467079""","=""35914752442987""",555-180-6265,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA236UANB,1,06/26/2023,,$25.00,09/04/2023,70.0,,,,,,,,,,,,,,,,,,,,,$25.00,
Active,,0013000000HnF9fAAF,451250,605373,06/09/2023,74d0c8fc-71a9-4d33-9afb-99186c0300ed,"=""089236328007692294""","=""35306210756006""",555-471-8391,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,RNWXRNB64BK1,1,06/10/2023,,$25.00,07/10/2023,31.0,,$25.00,08/11/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/20/2023,7b9ac9ef-6de9-48f8-a910-bd8ffae96fbc,"=""089871342604478784""","=""35914752445740""",555-748-2838,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA236UANB,1,06/21/2023,,$25.00,08/05/2023,46.0,,$25.00,,,,,,,,,,,,,,,,,,,$50.00,
Active,,0013000000HnF9fAAF,451250,605373,06/15/2023,b3f29b62-1fb2-451f-b54f-5b2537b0e5d5,"=""089564072101126456""","=""35626491113038""",555-819-8080,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,TC4056WAN1,1,06/15/2023,,$25.00,07/21/2023,36.0,,$25.00,08/21/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/30/2023,b6357c57-f197-414b-89ce-0f75a7a361db,"=""089871342603609671""","=""35914752371447""",555-519-1392,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA236UANB,1,06/30/2023,,$25.00,07/30/2023,30.0,,$25.00,08/30/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/10/2023,bc4fc90f-a036-4e97-8660-194bcee7666c,"=""089496604905378679""","=""35581921521277""",555-436-7170,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA037UANB,1,06/10/2023,,,06/12/2023,2.0,,,07/12/2023,,$25.00,08/12/2023,,$25.00,,,,,,,,,,,,,$50.00,Commission % tier change due to a decrease in the customer's base plan prior to 3rdMRC
Active,,0013000000HnF9fAAF,451250,605373,06/09/2023,bedfcf0c-33f2-4507-83e4-77ed70c52d6e,"=""089686122301141079""","=""35750427116957""",555-259-3099,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,RNWBT1264BU1,1,06/10/2023,,$25.00,07/10/2023,31.0,,$25.00,08/11/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/16/2023,c353e763-78ce-46b6-a374-fe3d2d3ffba6,"=""089143792100155703""","=""35224361026037""",555-890-4021,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,RNWBT1264BU1,1,06/17/2023,,$25.00,07/17/2023,31.0,,$25.00,08/18/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/28/2023,8d54b6fe-1ed6-4e95-865f-ba90ec0442b5,"=""089379032002369606""","=""35462870242846""",555-987-3497,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,194252096734,1,06/29/2023,,$25.00,07/29/2023,31.0,,$25.00,08/29/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/17/2023,90defd10-b1ec-4069-a52b-9bcc4705676e,"=""089464947401511681""","=""35534482171101""",555-808-2295,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,MOXT22715ANB,1,06/18/2023,,$25.00,07/19/2023,32.0,,$25.00,08/19/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/26/2023,95c69c4c-80bd-48f1-9e9c-4ba1aad02ef6,"=""089549808203441792""","=""35603762348480""",555-893-8535,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,MOXT22133ANB,1,06/27/2023,,$25.00,07/28/2023,32.0,,$25.00,08/28/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Deactivated,08/28/2023,0013000000HnF9fAAF,451250,605373,06/28/2023,9ad80d07-b0e8-4068-aa26-52f20ce8f40a,"=""089496604905408850""","=""35581921528852""",555-819-4348,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA037UANB,1,06/29/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Active,,0013000000HnF9fAAF,451250,605373,06/26/2023,9d9e3a5f-2234-4bb4-9517-8bc55433249e,"=""089558312500528726""","=""35618395081156""",555-409-3485,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,PDF318BSOAN1,1,06/27/2023,,$25.00,07/28/2023,32.0,,$25.00,08/28/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Active,,0013000000HnF9fAAF,451250,605373,06/07/2023,9f76a430-a882-42b5-a277-619a87c2d1d2,"=""089871342604342529""","=""35914752424301""",555-711-1090,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,SPHA236UANB,1,06/07/2023,,$25.00,07/07/2023,30.0,,$25.00,08/07/2023,0.00%,$0.00,,,,,,,,,,,,,,,,$50.00,Commission % tier change due to a decrease in the customer's base plan prior to 3rdMRC  Network is not eligible
Active,,0013000000HnF9fAAF,451250,605373,06/17/2023,a1b1f330-7cc3-43c1-ab15-30550f618c6b,"=""089680879201328681""","=""35743758144629""",555-888-5649,"$50 Unlimited Data, Talk & Text + 40GB of 5G/4G Data Each Line for up to 5 Lines (TI)",Virgin,MOXT21655AN1,1,06/17/2023,,$25.00,07/17/2023,30.0,,$25.00,08/18/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
Deactivated,07/16/2023,0013000000HnF9fAAF,451250,605373,06/21/2023,6b8bb7c6-8c07-4b09-bdde-0c1719ba2adf,"=""089549808203446885""","=""35603762349865""",555-586-1403,"$50 Unlimited Talk and Text w/ 35GB, $30 AAL",Virgin,MOXT22133ANB,1,06/21/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Active,,0013000000HnF9fAAF,451250,605373,06/10/2023,44554aae-7de9-4334-8201-798c4dc08bec,"=""089603337809581896""","=""35686262923548""",555-690-6870,"$50 Unlimited Talk and Text w/ 35GB, $30 AAL",Virgin,BYOBLUB131DL,1,06/10/2023,,$25.00,07/02/2023,22.0,,$25.00,08/02/2023,,$25.00,09/02/2023,,$0.00,,,,,,,,,,,,,$75.00,
Deactivated,08/22/2023,0013000000HnF9fAAF,451250,605373,06/22/2023,0d1fda9a-abbf-4119-a090-2a2e7a7180cf,"=""089379032005383430""","=""35462870522506""",555-374-4073,$60 Unlimited Plan,Virgin,194252096710,1,06/23/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Deactivated,08/07/2023,0013000000HnF9fAAF,451250,605373,06/07/2023,0e8f3ada-80af-4a86-b85e-2ccbf6d84a47,"=""089241019500135561""","=""35311953021189""",555-443-5375,$60 Unlimited Plan,Virgin,NK1430BL32,1,06/07/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Deactivated,08/10/2023,0013000000HnF9fAAF,451250,605373,06/10/2023,950bad1d-51f8-4b2e-a9b0-8ef51235d2eb,"=""089464947401325349""","=""35534482143925""",555-750-3456,$60 Unlimited Plan,Virgin,MOXT22715ANB,1,06/11/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Deactivated,08/03/2023,0013000000HnF9fAAF,451250,605373,06/03/2023,c6c150a6-8591-48fd-a8dd-768bff8b63b3,"=""089496604903676553""","=""35581921381989""",555-575-5537,$60 Unlimited Plan,Virgin,SPHA037UAN1,1,06/03/2023,,$25.00,,,,,,,,,,,,,,,,,,,,,,,$25.00,
Active,,0013000000HnF9fAAF,451250,605373,06/27/2023,bddee4f1-9eff-40e6-8ed3-5a19a505d2af,"=""089281360802455333""","=""35374128257725""",555-620-1698,$60 Unlimited Plan,Virgin,MOXT2115AN1,1,06/27/2023,,$25.00,08/07/2023,41.0,,$25.00,,,,,,,,,,,,,,,,,,,$50.00,
Active,,0013000000HnF9fAAF,451250,605373,06/19/2023,f112d034-f850-40b3-a84b-53a57ccd40ce,"=""089379032002592865""","=""35462870279061""",555-843-5660,$60 Unlimited Plan,Virgin,194252096734,1,06/19/2023,,$25.00,07/19/2023,30.0,,$25.00,08/21/2023,,$25.00,,,,,,,,,,,,,,,,$75.00,
